LotFrontage,OverallQual,MasVnrArea,BsmtFinSF1,TotalBsmtSF,2ndFlrSF,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF
65.0,7,196.0,706,856,854,2,1,8,0,0,61
80.0,6,0.0,978,1262,0,2,0,6,1,298,0
68.0,7,162.0,486,920,866,2,1,6,1,0,42
60.0,7,0.0,216,756,756,1,0,7,1,0,35
84.0,8,350.0,655,1145,1053,2,1,9,1,192,84
85.0,5,0.0,732,796,566,1,1,5,0,40,30
75.0,8,186.0,1369,1686,0,2,0,7,1,255,57
69.0,7,240.0,859,1107,983,2,1,7,2,235,204
51.0,7,0.0,0,952,752,2,0,8,2,90,0
50.0,5,0.0,851,991,0,1,0,5,2,0,4
70.0,5,0.0,906,1040,0,1,0,5,0,0,0
85.0,9,286.0,998,1175,1142,3,0,11,2,147,21
69.0,5,0.0,737,912,0,1,0,4,0,140,0
91.0,7,306.0,0,1494,0,2,0,7,1,160,33
69.0,6,212.0,733,1253,0,1,1,5,1,0,213
51.0,7,0.0,0,832,0,1,0,5,0,48,112
69.0,6,180.0,578,1004,0,1,0,5,1,0,0
72.0,4,0.0,0,0,0,2,0,6,0,0,0
66.0,5,0.0,646,1114,0,1,1,6,0,0,102
70.0,5,0.0,504,1029,0,1,0,6,0,0,0
101.0,8,380.0,0,1158,1218,3,1,9,1,240,154
57.0,7,0.0,0,637,0,1,0,6,1,0,0
75.0,8,281.0,0,1777,0,2,0,7,1,171,159
44.0,5,0.0,840,1040,0,1,0,6,1,100,110
69.0,5,0.0,188,1060,0,1,0,6,1,406,90
60.0,5,0.0,234,900,0,1,0,5,0,222,32
98.0,8,200.0,1218,1704,0,2,0,7,1,0,50
47.0,5,0.0,1277,1484,0,1,0,6,2,288,258
60.0,4,0.0,0,520,0,1,0,4,0,49,0
50.0,4,0.0,0,649,668,1,0,6,0,0,54
69.0,5,0.0,0,1228,0,1,1,6,0,0,65
85.0,8,0.0,0,1234,0,2,0,7,0,0,30
70.0,5,0.0,1018,1398,0,1,1,6,1,0,38
60.0,9,246.0,1153,1561,0,2,0,6,1,203,47
74.0,5,650.0,1213,1297,0,1,0,5,1,0,0
68.0,5,0.0,731,1057,0,1,0,5,0,0,52
65.0,4,0.0,0,0,0,2,0,6,0,0,0
84.0,6,101.0,643,1088,0,2,0,6,1,0,138
69.0,5,0.0,747,840,0,1,0,5,0,240,0
69.0,5,0.0,280,938,0,1,0,5,0,145,0
70.0,5,0.0,179,1150,0,1,0,6,0,0,0
61.0,9,412.0,456,1752,0,2,0,6,1,196,82
48.0,7,0.0,1351,1434,631,1,1,6,1,168,43
84.0,8,0.0,24,1656,0,2,0,7,0,0,146
33.0,4,0.0,0,736,716,2,0,8,0,0,0
66.0,5,0.0,763,955,0,1,0,6,0,0,0
69.0,6,0.0,182,794,676,2,0,6,0,0,75
52.0,6,0.0,0,816,0,1,0,6,1,112,0
68.0,9,0.0,1810,1842,0,0,1,5,1,857,72
60.0,5,0.0,384,384,0,1,0,6,1,0,50
100.0,6,272.0,490,1425,0,2,0,7,1,0,0
89.0,7,0.0,0,860,860,2,1,7,0,0,70
66.0,10,1031.0,0,1410,1519,3,1,10,1,192,0
60.0,5,0.0,632,780,0,1,0,4,0,196,0
63.0,6,0.0,941,1158,0,1,1,5,0,0,50
60.0,5,0.0,0,530,530,1,0,6,0,0,0
44.0,8,178.0,24,1370,0,2,0,6,1,120,49
50.0,7,0.0,0,576,808,2,0,9,0,12,11
69.0,7,573.0,739,1057,977,2,1,8,0,576,36
76.0,8,344.0,0,1143,1330,2,1,9,1,192,151
69.0,7,287.0,912,1947,0,2,0,7,1,301,0
72.0,7,167.0,1013,1453,0,2,0,7,0,144,29
47.0,4,0.0,0,747,0,1,0,4,0,0,0
81.0,7,0.0,603,1304,983,2,0,7,1,0,21
95.0,7,1115.0,1880,2223,0,2,0,8,2,300,0
69.0,4,0.0,565,845,0,1,0,4,0,0,0
74.0,7,40.0,0,832,833,2,1,7,1,0,94
85.0,5,104.0,320,1086,0,1,0,6,0,0,0
60.0,3,0.0,0,840,765,2,0,8,0,0,0
69.0,4,0.0,228,952,0,1,0,4,0,0,0
50.0,5,0.0,336,672,213,1,0,6,0,0,0
72.0,4,0.0,0,1768,0,2,0,8,0,0,0
60.0,5,0.0,0,440,548,1,1,5,0,74,0
100.0,6,576.0,448,896,960,2,1,8,1,0,72
32.0,6,443.0,1201,1237,0,2,0,5,0,0,199
78.0,8,468.0,33,1563,0,2,0,6,1,144,99
80.0,5,66.0,0,1065,0,1,1,6,0,74,0
69.0,7,22.0,0,384,670,2,1,7,1,120,72
40.0,6,76.0,0,612,612,2,1,4,0,0,234
105.0,3,0.0,0,1013,0,1,0,6,0,0,0
60.0,4,0.0,588,990,0,1,0,5,0,0,0
60.0,4,0.0,0,0,0,1,0,4,0,0,29
85.0,5,203.0,600,1235,0,1,0,6,0,0,0
80.0,5,0.0,713,876,0,1,0,5,0,0,0
60.0,6,0.0,1046,1214,1031,2,0,9,1,0,0
69.0,6,0.0,648,824,881,2,1,7,0,0,162
69.0,6,68.0,310,680,790,2,1,6,1,232,63
78.0,7,183.0,1162,1588,0,2,0,6,0,158,29
73.0,4,48.0,520,960,0,1,0,6,0,120,0
85.0,5,0.0,108,458,0,1,0,5,0,0,0
77.0,4,0.0,569,950,0,1,1,6,0,352,0
69.0,6,28.0,1200,1610,0,2,0,6,2,168,68
77.0,6,336.0,0,741,755,2,1,7,1,192,46
64.0,5,0.0,0,0,0,2,0,8,0,0,0
94.0,7,0.0,0,1226,0,2,0,6,0,0,36
69.0,7,600.0,224,1040,592,1,1,7,2,0,0
75.0,8,768.0,0,1053,939,2,1,9,1,140,45
60.0,4,0.0,0,641,0,1,0,6,0,0,0
50.0,5,0.0,104,789,0,1,0,5,0,0,0
85.0,5,0.0,0,793,520,2,0,7,0,0,0
105.0,6,480.0,705,1844,0,2,0,7,1,0,122
75.0,6,0.0,444,994,639,2,0,7,0,182,0
69.0,7,0.0,250,384,656,2,1,7,1,180,0
77.0,7,220.0,984,1264,1414,2,1,10,1,120,184
69.0,6,184.0,35,1809,0,2,0,7,2,166,120
61.0,6,0.0,774,1028,884,2,1,9,1,224,0
34.0,6,1129.0,419,729,729,2,1,5,1,0,32
69.0,5,116.0,170,1092,0,1,0,6,1,0,20
74.0,5,0.0,0,1125,0,1,1,5,0,80,64
90.0,7,0.0,1470,1673,1523,3,0,11,2,367,0
65.0,6,0.0,0,728,728,2,1,8,1,0,24
69.0,6,0.0,938,938,0,1,0,4,2,0,130
50.0,4,0.0,0,732,351,1,0,4,0,0,0
75.0,6,135.0,570,1080,0,1,0,5,0,0,0
55.0,6,0.0,300,1199,0,2,0,5,0,0,63
48.0,6,0.0,0,1362,0,2,0,7,1,192,0
60.0,6,0.0,490,520,0,1,0,5,0,53,0
69.0,6,0.0,120,1078,0,2,0,5,1,0,205
55.0,5,0.0,116,672,0,1,0,5,1,0,0
69.0,6,266.0,512,660,688,1,1,6,1,188,108
69.0,5,85.0,567,1008,0,1,1,6,0,0,80
88.0,7,309.0,445,924,941,2,1,8,2,105,66
69.0,6,40.0,695,992,1032,2,1,7,1,24,48
75.0,5,0.0,405,1063,0,1,0,7,0,0,0
69.0,8,136.0,1005,1267,0,2,0,6,0,192,25
78.0,5,0.0,570,1461,0,2,1,7,1,0,96
80.0,7,288.0,0,1304,0,2,0,7,1,98,0
69.0,5,196.0,695,1214,0,2,0,5,1,0,111
82.0,7,70.0,0,1907,0,3,0,9,0,0,0
73.0,8,320.0,668,1004,848,2,1,7,2,224,106
65.0,6,0.0,821,928,836,2,1,7,0,276,99
70.0,4,0.0,432,864,0,1,0,5,1,0,0
78.0,7,0.0,1300,1734,0,2,0,7,0,160,24
71.0,5,0.0,507,910,475,2,0,6,0,0,0
78.0,7,183.0,679,1490,0,2,0,6,0,144,29
70.0,5,336.0,1332,1728,0,2,0,10,0,0,0
51.0,5,0.0,209,715,0,1,0,5,0,48,0
69.0,7,180.0,0,884,1151,2,1,8,1,144,48
63.0,7,120.0,680,1080,0,1,0,6,0,0,0
69.0,5,0.0,0,896,448,1,0,7,0,200,114
107.0,8,436.0,1400,1710,0,2,0,6,1,0,102
69.0,6,252.0,416,825,896,2,1,8,1,0,66
69.0,6,0.0,429,1602,0,1,0,4,1,409,0
84.0,6,0.0,0,1200,0,1,0,7,0,0,0
60.0,6,0.0,0,572,524,1,0,5,0,0,8
60.0,5,0.0,0,0,0,1,0,5,0,0,0
92.0,8,84.0,0,774,1194,2,1,8,1,0,75
100.0,7,0.0,222,991,956,2,1,8,1,0,136
69.0,6,0.0,660,1232,0,2,0,6,0,0,0
95.0,7,226.0,1201,1541,0,2,0,7,1,0,70
55.0,4,0.0,0,882,0,1,0,4,0,0,0
40.0,6,0.0,370,1149,467,2,0,5,0,0,0
62.0,5,0.0,351,644,547,2,0,6,0,140,0
69.0,5,0.0,379,1617,0,1,0,7,3,476,0
86.0,8,300.0,1288,1582,551,1,1,8,1,178,120
62.0,7,0.0,0,840,880,2,1,7,1,100,48
69.0,8,653.0,0,1686,0,2,1,6,1,574,64
69.0,5,0.0,360,720,0,1,1,7,0,237,0
44.0,7,0.0,495,1064,703,2,0,5,1,441,35
80.0,6,491.0,288,1362,0,1,1,6,1,0,20
47.0,6,132.0,1398,1606,0,2,0,7,1,192,0
84.0,6,0.0,477,1202,0,2,0,7,1,0,29
97.0,6,268.0,831,1151,896,2,1,8,1,0,228
69.0,5,0.0,57,1052,668,2,0,8,1,0,0
63.0,9,748.0,1904,2216,0,2,0,9,1,0,60
60.0,5,0.0,0,968,0,1,0,5,0,0,0
69.0,6,456.0,436,756,756,2,1,5,1,0,0
54.0,7,0.0,352,793,901,1,1,9,1,0,0
60.0,5,98.0,0,0,0,1,0,7,1,116,0
63.0,7,0.0,0,1362,720,2,1,6,0,280,238
92.0,5,0.0,0,504,316,1,0,5,0,104,0
90.0,10,0.0,0,1107,1518,2,1,12,2,0,260
69.0,7,0.0,611,1188,0,2,0,6,0,168,27
60.0,5,0.0,0,660,704,2,1,8,0,0,0
64.0,5,275.0,1086,1086,0,0,2,6,2,120,0
41.0,8,0.0,1153,1593,0,1,1,5,1,0,120
70.0,8,0.0,297,853,1178,2,1,10,2,0,74
69.0,7,138.0,626,725,754,1,1,7,0,0,32
68.0,7,0.0,560,1431,0,2,0,6,0,0,35
60.0,5,0.0,390,864,0,1,0,5,0,0,0
79.0,7,205.0,1126,1726,0,2,0,8,1,171,138
92.0,6,0.0,0,755,929,1,0,8,0,0,198
76.0,8,262.0,1088,1713,0,2,0,7,1,0,26
80.0,4,0.0,0,1121,0,2,0,5,0,132,64
75.0,6,0.0,641,1196,0,2,0,6,2,238,83
50.0,6,0.0,617,617,445,2,0,6,0,0,0
69.0,6,205.0,662,848,0,1,0,3,1,149,0
50.0,5,0.0,312,720,564,1,1,5,0,0,35
99.0,7,0.0,0,1424,0,2,0,5,0,0,34
40.0,5,0.0,0,1140,0,1,1,8,1,0,30
69.0,4,0.0,419,1100,0,1,0,6,1,355,0
69.0,7,128.0,1065,1157,882,2,1,7,1,60,55
75.0,6,260.0,787,1092,0,1,0,6,0,0,0
67.0,5,0.0,468,864,0,1,0,5,0,0,0
83.0,6,0.0,36,1212,0,2,0,6,0,100,22
72.0,7,0.0,822,900,920,2,1,7,1,168,108
43.0,5,0.0,716,990,0,1,0,5,0,224,0
69.0,6,153.0,378,689,703,1,1,6,0,0,36
72.0,5,64.0,360,1070,0,1,0,6,1,0,0
65.0,7,266.0,946,1436,0,2,0,8,0,139,98
57.0,4,0.0,0,686,518,1,0,8,0,0,172
69.0,7,312.0,341,798,817,1,1,8,2,0,119
43.0,7,16.0,16,1248,0,2,0,5,0,108,0
73.0,7,0.0,0,1498,0,2,0,5,0,351,33
69.0,6,0.0,0,1010,1257,2,1,8,1,120,46
85.0,6,0.0,550,713,741,2,1,6,1,209,208
70.0,4,0.0,524,864,0,1,0,4,0,216,0
103.0,10,922.0,56,2392,0,2,0,8,1,248,105
82.0,7,290.0,565,1203,1306,2,1,9,1,224,114
70.0,5,0.0,842,912,0,1,0,5,1,0,0
43.0,7,16.0,16,1373,0,2,0,7,1,143,20
73.0,6,220.0,0,1194,0,1,0,6,0,0,0
75.0,5,0.0,182,894,0,1,0,5,0,365,0
69.0,6,0.0,625,860,1100,2,1,8,2,288,48
65.0,7,98.0,24,1414,0,2,0,6,0,132,105
69.0,7,0.0,402,996,730,2,1,7,0,370,70
93.0,8,254.0,0,1694,0,2,0,7,0,168,228
52.0,6,0.0,94,735,689,1,1,7,1,0,140
75.0,8,36.0,1078,1566,0,2,0,7,0,144,168
40.0,5,0.0,329,686,0,1,0,4,0,58,42
63.0,5,0.0,0,540,551,1,0,6,0,0,0
75.0,6,0.0,0,626,591,1,1,6,1,0,28
69.0,7,0.0,695,948,888,2,1,8,2,0,130
80.0,7,102.0,929,1845,0,2,0,6,1,197,39
69.0,6,0.0,0,1020,1020,2,0,9,0,0,60
75.0,6,0.0,0,1367,0,1,0,5,1,0,30
72.0,7,101.0,0,840,828,2,1,8,0,144,68
69.0,6,472.0,697,1444,700,2,0,7,2,0,98
55.0,3,0.0,0,728,0,1,0,6,0,263,0
44.0,8,481.0,1573,1573,0,2,0,5,1,123,0
65.0,6,0.0,0,798,842,2,1,6,0,138,45
85.0,6,108.0,270,1302,0,2,0,7,0,333,0
70.0,5,0.0,922,1314,0,1,0,5,0,250,0
66.0,7,302.0,0,975,1286,2,1,8,1,192,0
64.0,6,0.0,503,864,864,2,1,7,0,216,56
68.0,7,180.0,1334,1604,0,2,1,8,1,123,110
80.0,7,172.0,361,963,829,2,1,7,1,0,96
70.0,5,0.0,0,0,0,1,0,4,0,0,45
69.0,8,270.0,0,1482,1092,2,1,10,1,0,148
88.0,6,46.0,506,506,0,1,0,6,1,292,12
50.0,5,0.0,234,926,0,1,0,6,0,0,0
78.0,6,210.0,588,1422,0,2,0,7,1,276,0
70.0,6,0.0,714,802,709,2,1,8,1,95,75
60.0,5,0.0,378,720,720,2,1,8,1,262,24
71.0,5,0.0,403,740,0,1,0,4,1,0,25
69.0,6,174.0,751,1143,0,1,1,6,1,370,30
84.0,8,0.0,0,1095,844,2,1,8,1,192,51
73.0,7,0.0,226,1385,0,1,0,5,2,81,0
92.0,8,348.0,524,1152,1106,2,1,9,1,132,57
80.0,6,183.0,620,1240,0,2,0,6,1,289,0
76.0,5,0.0,546,816,0,1,0,5,0,168,0
55.0,7,0.0,0,952,596,2,1,5,0,74,0
107.0,9,315.0,0,2121,0,2,1,8,1,124,98
83.0,7,299.0,392,1160,866,2,1,8,1,288,117
82.0,7,340.0,421,807,807,2,1,7,1,0,84
60.0,6,68.0,905,1262,0,2,0,5,0,0,120
34.0,7,166.0,904,1314,0,2,0,6,1,172,62
74.0,8,72.0,0,1468,0,2,0,6,1,210,150
50.0,6,0.0,430,1575,0,2,0,5,0,0,0
35.0,7,0.0,0,625,625,2,1,5,0,0,54
77.0,6,0.0,600,912,649,1,1,7,1,0,0
69.0,4,0.0,614,858,0,1,0,5,0,0,0
69.0,5,31.0,450,882,0,1,0,5,0,0,0
60.0,6,0.0,0,698,698,1,0,7,0,0,0
55.0,5,0.0,210,780,780,2,0,9,0,0,184
60.0,5,0.0,292,768,568,1,1,8,1,0,0
69.0,7,34.0,795,795,795,2,1,9,1,0,250
80.0,6,238.0,1285,1416,0,1,0,7,2,110,0
37.0,6,0.0,819,1003,0,1,0,6,0,120,0
75.0,5,0.0,420,910,648,1,1,6,0,289,0
66.0,7,1600.0,649,975,975,2,1,7,1,0,10
90.0,6,365.0,384,702,702,1,2,7,1,224,0
80.0,6,0.0,0,1092,0,1,0,6,1,0,36
90.0,5,56.0,841,1165,0,1,0,5,2,0,0
66.0,8,0.0,281,1028,1242,2,1,9,1,208,50
70.0,5,0.0,894,894,0,1,0,5,0,256,0
87.0,7,0.0,0,1470,1818,3,0,10,1,302,0
80.0,8,246.0,1464,2000,0,2,0,8,0,168,0
69.0,6,0.0,0,319,371,1,0,6,0,0,144
69.0,4,0.0,262,861,0,1,0,4,0,158,0
90.0,9,0.0,1274,1896,0,2,0,8,3,208,175
69.0,6,112.0,518,697,804,2,1,6,1,190,63
50.0,6,0.0,680,972,0,1,0,5,1,0,0
65.0,5,0.0,507,793,325,1,0,5,1,0,0
60.0,7,0.0,16,728,809,1,1,6,1,0,0
71.0,7,0.0,425,716,716,2,1,6,1,100,51
94.0,7,278.0,692,845,1200,2,1,10,1,288,195
75.0,8,0.0,0,1088,871,2,1,8,1,208,46
90.0,7,256.0,987,1347,1274,2,1,9,1,340,60
69.0,7,225.0,1036,1372,0,2,0,6,2,233,48
99.0,8,388.0,970,1136,1332,2,1,10,1,184,154
86.0,7,172.0,28,1502,1177,2,1,8,1,201,96
49.0,3,0.0,256,1162,0,1,0,6,0,142,98
96.0,7,300.0,0,710,1080,2,1,11,1,240,0
50.0,5,0.0,116,720,0,1,0,5,0,0,0
32.0,8,0.0,1619,1719,0,1,1,6,2,122,30
80.0,6,175.0,565,1383,0,1,1,7,0,0,45
69.0,6,0.0,0,844,689,2,0,10,0,0,60
60.0,5,0.0,0,596,596,1,0,6,0,0,0
69.0,5,84.0,40,1728,0,2,0,10,0,155,0
70.0,5,0.0,846,1056,0,1,0,6,0,0,0
85.0,8,296.0,1124,3206,0,2,0,7,1,0,0
59.0,7,146.0,720,1358,0,2,0,6,1,192,30
59.0,6,0.0,828,943,695,2,1,7,2,100,38
69.0,5,0.0,1249,1499,167,2,0,7,2,670,0
86.0,9,200.0,1249,1922,0,2,0,8,1,178,51
70.0,7,113.0,810,1536,0,2,0,7,0,192,74
91.0,7,0.0,213,1208,0,2,0,8,0,108,45
66.0,6,176.0,585,1215,0,1,0,6,0,0,0
85.0,8,0.0,0,967,915,2,1,9,0,135,0
60.0,4,0.0,0,721,0,1,0,4,0,250,0
69.0,3,340.0,0,0,0,2,0,6,0,0,0
63.0,9,616.0,28,1684,0,2,0,6,1,495,72
36.0,5,0.0,129,536,576,1,1,4,0,182,0
65.0,6,0.0,0,972,605,1,0,6,1,0,0
69.0,6,0.0,498,958,0,1,0,5,0,0,0
69.0,6,30.0,1270,1478,0,2,0,6,2,0,40
36.0,7,106.0,573,764,862,2,1,6,0,0,27
56.0,9,870.0,1410,1848,880,2,1,10,2,0,0
68.0,9,362.0,0,1869,0,2,0,6,1,210,54
69.0,7,0.0,1082,1453,0,1,1,6,1,0,80
60.0,5,0.0,236,616,495,1,0,5,0,48,0
60.0,6,0.0,0,624,0,1,0,5,0,106,0
60.0,6,0.0,388,940,403,1,0,6,2,0,0
105.0,6,0.0,334,1200,0,2,0,6,0,0,26
69.0,6,106.0,560,1158,0,2,0,6,0,120,26
44.0,5,0.0,874,1142,0,1,1,6,1,536,90
92.0,5,120.0,300,1062,0,1,0,6,0,168,0
78.0,8,530.0,956,1086,838,2,1,7,1,208,75
69.0,6,0.0,773,888,0,1,0,5,1,0,0
69.0,5,0.0,399,883,517,1,0,8,0,0,0
64.0,7,500.0,0,0,1427,3,0,7,1,0,0
69.0,6,120.0,712,796,784,2,1,6,1,306,111
59.0,5,0.0,456,672,672,1,0,6,0,0,128
69.0,6,247.0,609,1394,0,1,1,6,2,0,76
101.0,6,305.0,371,1099,0,1,0,6,1,64,110
78.0,5,200.0,540,1268,0,1,0,7,1,0,98
69.0,5,0.0,72,1063,0,1,0,7,1,364,17
69.0,6,0.0,0,953,711,2,1,7,1,100,40
80.0,4,0.0,0,0,468,2,0,7,1,0,59
50.0,6,0.0,623,744,0,1,0,4,0,353,0
79.0,5,0.0,428,608,0,1,0,5,0,66,0
65.0,7,0.0,0,847,1081,2,1,8,1,100,48
69.0,1,0.0,350,683,0,0,1,4,0,0,0
57.0,5,0.0,298,870,0,1,0,5,0,0,0
102.0,8,0.0,0,1580,886,3,0,8,1,159,214
88.0,9,350.0,1445,1856,0,1,1,8,1,113,0
60.0,6,16.0,0,982,793,2,1,7,1,100,63
50.0,5,0.0,218,1026,665,2,0,6,1,0,0
60.0,7,0.0,0,1293,0,2,0,5,1,216,121
79.0,7,0.0,0,939,858,2,1,8,0,144,53
60.0,6,0.0,0,784,0,1,0,5,0,0,0
69.0,6,0.0,985,1580,874,2,1,9,2,216,231
43.0,8,16.0,24,1256,0,2,0,6,1,146,20
58.0,5,0.0,0,658,526,1,0,8,0,0,151
72.0,6,255.0,631,1041,0,1,0,6,1,296,0
93.0,7,125.0,0,1468,0,2,0,6,0,120,25
96.0,10,272.0,1280,1682,590,2,1,9,1,196,134
50.0,5,0.0,241,861,406,1,0,7,0,0,130
71.0,6,0.0,690,804,1157,2,1,7,1,125,192
69.0,5,0.0,0,0,0,1,0,5,0,0,0
69.0,4,0.0,266,788,0,1,0,4,2,0,0
60.0,5,0.0,0,735,299,1,0,5,0,0,39
68.0,5,0.0,739,1144,0,1,0,6,0,44,0
60.0,5,0.0,777,894,0,1,0,6,0,215,0
69.0,5,288.0,540,864,936,2,0,8,1,0,168
60.0,5,0.0,0,961,0,1,0,6,0,0,0
65.0,7,100.0,812,1092,438,2,0,7,0,0,168
38.0,8,0.0,786,1260,0,1,1,4,2,120,30
65.0,7,0.0,24,1310,0,2,0,6,1,0,0
60.0,5,0.0,0,672,0,1,0,4,0,168,0
93.0,8,650.0,0,1141,1098,2,1,10,1,144,123
69.0,6,0.0,0,806,766,2,1,7,1,0,40
69.0,4,0.0,1116,1281,0,2,0,8,1,120,78
51.0,6,0.0,0,1064,0,1,0,6,0,0,0
63.0,6,0.0,0,840,840,2,0,8,0,0,0
85.0,8,100.0,789,1034,1028,2,1,8,1,0,102
68.0,5,0.0,0,1276,0,1,0,5,0,0,0
100.0,5,0.0,1056,1056,0,1,0,5,0,264,0
69.0,7,432.0,578,1470,0,2,1,7,1,0,144
56.0,5,0.0,0,1008,0,1,0,5,1,0,0
59.0,7,0.0,50,1080,1017,2,1,9,1,196,187
73.0,7,0.0,24,1340,0,2,0,6,0,100,30
74.0,6,203.0,209,672,728,1,1,6,1,0,0
86.0,6,0.0,1128,1370,1254,2,1,10,1,0,0
60.0,5,0.0,312,756,378,1,1,7,0,0,0
65.0,5,0.0,775,1056,0,1,0,6,1,0,85
78.0,7,200.0,1309,1344,0,2,0,8,0,0,0
69.0,6,126.0,1246,1602,0,2,0,8,1,240,0
100.0,5,0.0,0,988,0,1,0,4,0,0,0
80.0,8,473.0,986,1470,1160,2,1,8,1,0,66
72.0,6,74.0,616,1196,0,1,0,6,1,0,44
60.0,7,0.0,0,651,682,1,1,6,2,0,0
69.0,7,145.0,1518,1518,0,2,0,5,1,80,0
77.0,4,0.0,288,907,0,1,0,5,0,0,0
64.0,7,108.0,664,1208,0,2,0,6,0,105,54
60.0,6,0.0,0,901,110,1,0,7,0,0,98
100.0,6,0.0,0,926,678,2,1,7,1,0,36
43.0,7,0.0,385,799,834,2,1,6,1,158,61
40.0,6,0.0,0,648,384,1,0,6,0,0,0
50.0,6,0.0,0,884,0,1,0,4,0,0,0
40.0,5,0.0,365,440,0,1,0,4,1,0,0
67.0,6,0.0,0,684,512,1,0,7,0,0,46
105.0,10,200.0,1767,3094,0,2,0,10,2,0,72
92.0,4,270.0,133,1440,0,2,0,8,0,0,0
52.0,5,0.0,0,1078,445,2,0,8,1,0,0
53.0,7,72.0,0,1258,0,2,0,6,1,144,16
70.0,7,0.0,642,915,975,2,1,8,1,144,133
73.0,6,0.0,0,1436,0,1,0,7,1,0,0
69.0,7,0.0,0,930,930,2,1,10,1,89,0
50.0,6,0.0,0,780,596,2,0,7,1,0,0
50.0,3,0.0,331,649,504,1,1,6,0,0,176
70.0,6,0.0,0,813,0,1,0,5,0,0,113
62.0,7,0.0,655,1533,0,2,0,5,2,200,54
69.0,6,42.0,742,872,868,2,1,7,0,144,122
75.0,8,0.0,0,768,804,2,1,6,0,0,30
63.0,5,0.0,1606,1728,0,2,0,8,0,0,0
80.0,7,320.0,916,1242,0,1,1,6,1,0,0
34.0,5,0.0,0,624,720,1,0,7,0,0,0
69.0,4,0.0,1116,1364,0,1,0,6,2,224,137
69.0,8,0.0,0,588,833,1,0,7,1,192,63
69.0,5,161.0,185,709,224,1,0,5,1,0,0
75.0,8,110.0,544,832,1103,2,1,8,0,0,150
60.0,7,0.0,350,560,560,1,0,6,0,256,0
60.0,5,0.0,553,864,0,1,0,5,1,0,0
74.0,6,0.0,326,715,811,1,1,6,1,0,0
60.0,5,136.0,616,1040,0,2,0,5,0,0,0
69.0,7,18.0,0,1375,0,2,0,6,1,144,20
85.0,7,0.0,778,1277,0,1,0,5,1,0,0
79.0,5,224.0,386,728,756,1,1,7,2,168,0
98.0,8,248.0,0,1626,0,2,0,7,1,0,44
76.0,6,120.0,426,832,878,2,1,7,0,144,70
69.0,8,0.0,368,1488,0,1,1,4,0,0,54
92.0,7,0.0,0,808,808,2,1,8,1,0,0
35.0,6,80.0,459,547,0,1,0,5,0,0,28
41.0,8,0.0,1196,1494,0,2,0,6,0,96,48
80.0,5,0.0,630,970,0,1,0,5,0,0,24
75.0,6,215.0,994,1478,0,2,0,7,1,140,39
105.0,9,772.0,0,2153,574,2,1,9,1,414,84
79.0,8,336.0,1288,1705,0,2,0,7,1,208,44
50.0,4,435.0,168,907,0,1,0,7,0,0,72
98.0,9,378.0,1261,1833,0,2,0,8,1,519,112
72.0,9,562.0,1567,1792,0,2,0,6,1,206,49
50.0,7,0.0,299,910,910,1,1,7,1,0,0
32.0,6,116.0,897,1216,0,2,0,5,0,0,125
69.0,5,0.0,588,999,0,1,0,6,0,0,132
80.0,5,0.0,607,1113,0,1,0,5,1,0,80
